text,category,severity
We would like better public seating in the community park. This is barely noticeable but thought it was worth mentioning.,Other,LOW
This is a do-or-die situation that needs action within the hour. The new school building construction has been stalled for a year.,Education,CRITICAL
The local train has been delayed by over an hour every day this month. This is a fair concern that's been bothering the whole neighborhood.,Public Transport,MEDIUM
The security guard post outside our colony has been vacant for months. This is a minor issue but a small fix would be appreciated.,Safety,LOW
"This requires urgent emergency action right now, lives are at risk. The maternity ward lacks basic hygiene and clean bedsheets.",Health,CRITICAL
"This requires urgent emergency action right now, lives are at risk. Air quality in our area has become very poor due to nearby construction dust.",Environment,CRITICAL
Women in our area do not feel safe walking after dark due to poor lighting. This has been a recurring inconvenience for the whole area.,Safety,MEDIUM
Teachers are frequently absent and classes remain unsupervised. This is a do-or-die situation that needs action within the hour.,Education,CRITICAL
The tuition center is charging extra fees not mentioned earlier. This is extremely dangerous and could lead to a fatal accident.,Education,CRITICAL
"There is a large pothole in the middle of the main road near our colony. This needs to be resolved within the next day or two, it's serious.",Infrastructure,HIGH
Commuters are packed beyond capacity in the morning buses. This has become a moderate concern causing ongoing inconvenience.,Public Transport,MEDIUM
"Police have not responded despite multiple complaints about harassment. Whenever someone has time, this would be a nice small fix.",Safety,LOW
This has been a recurring inconvenience for the whole area. Our college corridor lights don't work making evening classes difficult.,Education,MEDIUM
"The local train has been delayed by over an hour every day this month. This is a small inconvenience, nothing serious at all.",Public Transport,LOW
"There are no proper desks and children sit on the floor in class. This needs to be resolved within the next day or two, it's serious.",Education,HIGH
"The government office building's roof is leaking badly during rains. Not a big deal, just a minor thing that could be improved.",Infrastructure,LOW
Trees on the main avenue were cut down without any prior notice. This is a critical problem that has been getting worse and worse.,Environment,HIGH
"Whenever someone has time, this would be a nice small fix. We would appreciate clearer signage for the new community office.",Other,LOW
This is a severe issue causing real danger to people nearby. The park's trees are dying because of an unknown chemical spill nearby.,Environment,HIGH
Patients are made to wait for hours without any medical attention. Someone could die if this is not fixed within hours.,Health,CRITICAL
This is a fair concern that's been bothering the whole neighborhood. There is a strong foul smell coming from the open drain near the market.,Environment,MEDIUM
"Our area does not have any bus stop within walking distance. This is just a small suggestion for improvement, not urgent.",Public Transport,LOW
Medical waste is not being disposed of properly outside the clinic. This is a severe issue causing real danger to people nearby.,Health,HIGH
This is a life-threatening emergency and needs an immediate response. The classroom ceiling fan has been broken for the entire semester.,Education,CRITICAL
This is putting people at real risk if ignored much longer. There has been a series of thefts in our neighborhood over the last month.,Safety,HIGH
This is a low priority request whenever the concerned team is free. A fire broke out in the market area and no fire truck arrived on time.,Safety,LOW
"Our area has no functioning health center within several kilometers. This requires urgent emergency action right now, lives are at risk.",Health,CRITICAL
"College fee receipts are not being issued despite full payment. This is a small inconvenience, nothing serious at all.",Education,LOW
"An accident-prone junction near our society still has no traffic signal. This could turn fatal any moment, immediate action is critical.",Safety,CRITICAL
Several people have already been affected and it keeps getting worse. Our school building lacks a functioning fan or cooler in summer.,Education,HIGH
I want to raise a general suggestion about our community center timings. Several people have already been affected and it keeps getting worse.,Other,HIGH
It would help a lot if this could be sorted out in the coming days. Air quality in our area has become very poor due to nearby construction dust.,Environment,MEDIUM
This is a do-or-die situation that needs action within the hour. Garbage has not been collected from our street for over a week.,Environment,CRITICAL
Frequent breakdowns on this route have disrupted daily commute. It would help a lot if this could be sorted out in the coming days.,Public Transport,MEDIUM
This has become a moderate concern causing ongoing inconvenience. Construction debris has been blocking the lane entrance for a week.,Infrastructure,MEDIUM
The riverside area is filled with plastic bags and bottles. This is a low priority request whenever the concerned team is free.,Environment,LOW
"The public toilet construction has been abandoned midway for months. This can wait, it's a very small and low-impact issue.",Infrastructure,LOW
This is extremely dangerous and could lead to a fatal accident. The clinic lacks proper equipment to handle even minor emergencies.,Health,CRITICAL
Several people have already been affected and it keeps getting worse. The bus stand shelter has collapsed and was never repaired.,Public Transport,HIGH
"The bridge connecting the two villages has visible cracks and feels unstable. Not a big deal, just a minor thing that could be improved.",Infrastructure,LOW
Stray incidents of eve-teasing near the college gate go unreported. This is not extremely urgent but is clearly a real problem now.,Safety,MEDIUM
"There's no rush on this, just flagging it for whenever possible. The scholarship funds promised to students have not been disbursed.",Education,LOW
Someone is illegally burning plastic waste behind the community hall. This is putting people at real risk if ignored much longer.,Environment,HIGH
Our government school has not had a mathematics teacher for two months. It would help a lot if this could be sorted out in the coming days.,Education,MEDIUM
This is barely noticeable but thought it was worth mentioning. The metro station escalator has been out of order for a long time.,Public Transport,LOW
The bus stand shelter has collapsed and was never repaired. This is not extremely urgent but is clearly a real problem now.,Public Transport,MEDIUM
Streetlights on our lane have not worked for the past three weeks. This is a fair concern that's been bothering the whole neighborhood.,Infrastructure,MEDIUM
Garbage has not been collected from our street for over a week. This is not extremely urgent but is clearly a real problem now.,Environment,MEDIUM
Someone could die if this is not fixed within hours. Women in our area do not feel safe walking after dark due to poor lighting.,Safety,CRITICAL
Mosquito breeding near the clinic is being ignored despite complaints. An explosion or collapse could happen at any moment here.,Health,CRITICAL
I want to raise a general suggestion about our community center timings. This issue needs attention soon as it is affecting daily life.,Other,MEDIUM
"There's no rush on this, just flagging it for whenever possible. A nearby factory is dumping waste directly into the river.",Environment,LOW
"Vehicles violate traffic signals constantly at this intersection. This is a small inconvenience, nothing serious at all.",Public Transport,LOW
An explosion or collapse could happen at any moment here. College fee receipts are not being issued despite full payment.,Education,CRITICAL
This is a life-threatening emergency and needs an immediate response. Dust from the cement factory is settling on our rooftops and plants.,Environment,CRITICAL
The drainage system is completely blocked and water is overflowing onto the road. This issue needs attention soon as it is affecting daily life.,Infrastructure,MEDIUM
We suggest adding more benches near the walking track. This has become a moderate concern causing ongoing inconvenience.,Other,MEDIUM
The bus stand shelter has collapsed and was never repaired. People are in immediate danger and this cannot wait even a day.,Public Transport,CRITICAL
There was a violent altercation near the bus stop yesterday evening. This is a low priority request whenever the concerned team is free.,Safety,LOW
This has been a recurring inconvenience for the whole area. Our area does not have any bus stop within walking distance.,Public Transport,MEDIUM
There is no doctor available at the primary health clinic after 2 PM. This has become a serious and hazardous situation for residents.,Health,HIGH
The community hall booking process is unclear and inconsistent. People are in immediate danger and this cannot wait even a day.,Other,CRITICAL
Someone could die if this is not fixed within hours. The park's trees are dying because of an unknown chemical spill nearby.,Environment,CRITICAL
This is barely noticeable but thought it was worth mentioning. The drainage system is completely blocked and water is overflowing onto the road.,Infrastructure,LOW
"There's no rush on this, just flagging it for whenever possible. The clinic lacks proper equipment to handle even minor emergencies.",Health,LOW
"The health camp promised for our village never took place. This requires urgent emergency action right now, lives are at risk.",Health,CRITICAL
A gas leak was reported near the residential block causing panic. Several people have already been affected and it keeps getting worse.,Safety,HIGH
"The new metro line construction has blocked the main commute route. This requires urgent emergency action right now, lives are at risk.",Public Transport,CRITICAL
There is a large pothole in the middle of the main road near our colony. This is extremely dangerous and could lead to a fatal accident.,Infrastructure,CRITICAL
"An accident-prone junction near our society still has no traffic signal. This can wait, it's a very small and low-impact issue.",Safety,LOW
This issue needs attention soon as it is affecting daily life. There has been a rise in dengue cases due to stagnant water nearby.,Health,MEDIUM
"This is just a small suggestion for improvement, not urgent. Construction debris has been blocking the lane entrance for a week.",Infrastructure,LOW
"Exam results have been delayed for over a month with no explanation. This needs to be resolved within the next day or two, it's serious.",Education,HIGH
Students do not have enough textbooks for the new academic year. This is putting people at real risk if ignored much longer.,Education,HIGH
"The primary school has no boundary wall making it unsafe for children. This is urgent and quite severe, please act as soon as possible.",Education,HIGH
The public toilet construction has been abandoned midway for months. This is a critical problem that has been getting worse and worse.,Infrastructure,HIGH
"Medical waste is not being disposed of properly outside the clinic. This could turn fatal any moment, immediate action is critical.",Health,CRITICAL
The under-construction building next door has unsafe scaffolding hanging over the footpath. This is a noticeable problem affecting quite a few households.,Infrastructure,MEDIUM
Stray incidents of eve-teasing near the college gate go unreported. This is a high priority matter that cannot be delayed much longer.,Safety,HIGH
There has been a rise in dengue cases due to stagnant water nearby. This is a severe issue causing real danger to people nearby.,Health,HIGH
"Whenever someone has time, this would be a nice small fix. The new metro line construction has blocked the main commute route.",Public Transport,LOW
"This is just a small suggestion for improvement, not urgent. The tuition center is charging extra fees not mentioned earlier.",Education,LOW
This has escalated quickly and is now a major safety concern. There was a violent altercation near the bus stop yesterday evening.,Safety,HIGH
This is a cosmetic issue that can be fixed whenever convenient. Bus drivers skip our stop regularly during peak hours.,Public Transport,LOW
The clinic lacks proper equipment to handle even minor emergencies. This is not extremely urgent but is clearly a real problem now.,Health,MEDIUM
The school computer lab equipment is outdated and mostly non-functional. This is extremely dangerous and could lead to a fatal accident.,Education,CRITICAL
This is a noticeable problem affecting quite a few households. Someone is illegally burning plastic waste behind the community hall.,Environment,MEDIUM
This is a critical problem that has been getting worse and worse. The overhead water tank in our area has started leaking.,Infrastructure,HIGH
Taxi stand outside the station has no queue management causing chaos. This is a low priority request whenever the concerned team is free.,Public Transport,LOW
There has been a partial collapse and people could be seriously hurt. Exam results have been delayed for over a month with no explanation.,Education,CRITICAL
This is a fair concern that's been bothering the whole neighborhood. The school computer lab equipment is outdated and mostly non-functional.,Education,MEDIUM
"This needs to be resolved within the next day or two, it's serious. The clinic lacks proper equipment to handle even minor emergencies.",Health,HIGH
This is a genuine problem that residents are worried about. The new school building construction has been stalled for a year.,Education,MEDIUM
This is a severe issue causing real danger to people nearby. The community hall booking process is unclear and inconsistent.,Other,HIGH
Someone could die if this is not fixed within hours. We would appreciate clearer signage for the new community office.,Other,CRITICAL
"This is just a small suggestion for improvement, not urgent. Women in our area do not feel safe walking after dark due to poor lighting.",Safety,LOW
This has escalated quickly and is now a major safety concern. Traffic congestion at this junction causes hour-long delays daily.,Public Transport,HIGH
"There's no rush on this, just flagging it for whenever possible. There is no clean drinking water available in the health center.",Health,LOW
"Local shopkeepers report frequent extortion threats from unknown people. Whenever someone has time, this would be a nice small fix.",Safety,LOW
"Household waste is being dumped in the empty plot next to our homes. This requires urgent emergency action right now, lives are at risk.",Environment,CRITICAL
There are no proper desks and children sit on the floor in class. This issue needs attention soon as it is affecting daily life.,Education,MEDIUM
This has been a recurring inconvenience for the whole area. Mosquito breeding near the clinic is being ignored despite complaints.,Health,MEDIUM
Commuters are packed beyond capacity in the morning buses. Several people have already been affected and it keeps getting worse.,Public Transport,HIGH
"This needs to be resolved within the next day or two, it's serious. Unknown men have been loitering around the school gate lately.",Safety,HIGH
People are in immediate danger and this cannot wait even a day. There has been a series of thefts in our neighborhood over the last month.,Safety,CRITICAL
Loud noise from the nearby factory continues late into the night. This is a severe issue causing real danger to people nearby.,Environment,HIGH
Someone could die if this is not fixed within hours. Power has been out in our entire block since last night.,Infrastructure,CRITICAL
"This is just a small suggestion for improvement, not urgent. A minor fire in the electrical box was reported near the market.",Safety,LOW
This has escalated quickly and is now a major safety concern. College fee receipts are not being issued despite full payment.,Education,HIGH
This is a do-or-die situation that needs action within the hour. Frequent breakdowns on this route have disrupted daily commute.,Public Transport,CRITICAL
This has become a moderate concern causing ongoing inconvenience. A water pipeline burst yesterday and flooded the entire street.,Infrastructure,MEDIUM
"Buses on this route have been irregular for the past two weeks. This requires urgent emergency action right now, lives are at risk.",Public Transport,CRITICAL
This is a genuine problem that residents are worried about. A minor fire in the electrical box was reported near the market.,Safety,MEDIUM
Frequent breakdowns on this route have disrupted daily commute. This is a critical problem that has been getting worse and worse.,Public Transport,HIGH
This is a high priority matter that cannot be delayed much longer. Smoke from open garbage burning is affecting people's breathing nearby.,Environment,HIGH
This is a noticeable problem affecting quite a few households. The public toilet construction has been abandoned midway for months.,Infrastructure,MEDIUM
This is a severe issue causing real danger to people nearby. Streetlights on our lane have not worked for the past three weeks.,Infrastructure,HIGH
Students do not have enough textbooks for the new academic year. This is a do-or-die situation that needs action within the hour.,Education,CRITICAL
The metro station escalator has been out of order for a long time. This has become a serious and hazardous situation for residents.,Public Transport,HIGH
